Date,Orders
2009-12-01,98
2009-12-02,110
2009-12-03,122
2009-12-04,80
2009-12-05,30
2009-12-06,72
2009-12-07,94
2009-12-08,102
2009-12-09,77
2009-12-10,87
2009-12-11,65
2009-12-13,69
2009-12-14,80
2009-12-15,94
2009-12-16,90
2009-12-17,84
2009-12-18,61
2009-12-20,32
2009-12-21,31
2009-12-22,21
2009-12-23,13
2010-01-04,26
2010-01-05,33
2010-01-06,13
2010-01-07,45
2010-01-08,44
2010-01-10,31
2010-01-11,43
2010-01-12,36
2010-01-13,25
2010-01-14,55
2010-01-15,44
2010-01-17,39
2010-01-18,35
2010-01-19,45
2010-01-20,35
2010-01-21,48
2010-01-22,42
2010-01-24,49
2010-01-25,45
2010-01-26,81
2010-01-27,51
2010-01-28,53
2010-01-29,45
2010-01-31,48
2010-02-01,56
2010-02-02,41
2010-02-03,44
2010-02-04,62
2010-02-05,38
2010-02-07,29
2010-02-08,49
2010-02-09,51
2010-02-10,27
2010-02-11,54
2010-02-12,28
2010-02-14,45
2010-02-15,43
2010-02-16,58
2010-02-17,46
2010-02-18,62
2010-02-19,34
2010-02-21,37
2010-02-22,46
2010-02-23,44
2010-02-24,59
2010-02-25,66
2010-02-26,32
2010-02-28,53
2010-03-01,57
2010-03-02,52
2010-03-03,60
2010-03-04,73
2010-03-05,59
2010-03-07,50
2010-03-08,69
2010-03-09,53
2010-03-10,56
2010-03-11,46
2010-03-12,35
2010-03-14,24
2010-03-15,49
2010-03-16,43
2010-03-17,44
2010-03-18,81
2010-03-19,52
2010-03-21,55
2010-03-22,52
2010-03-23,65
2010-03-24,66
2010-03-25,75
2010-03-26,56
2010-03-28,59
2010-03-29,58
2010-03-30,68
2010-03-31,67
2010-04-01,74
2010-04-06,53
2010-04-07,59
2010-04-08,81
2010-04-09,35
2010-04-11,42
2010-04-12,44
2010-04-13,49
2010-04-14,43
2010-04-15,64
2010-04-16,38
2010-04-18,54
2010-04-19,61
2010-04-20,62
2010-04-21,60
2010-04-22,77
2010-04-23,52
2010-04-25,46
2010-04-26,73
2010-04-27,74
2010-04-28,70
2010-04-29,76
2010-04-30,42
2010-05-02,40
2010-05-04,48
2010-05-05,66
2010-05-06,76
2010-05-07,63
2010-05-09,62
2010-05-10,70
2010-05-11,62
2010-05-12,64
2010-05-13,64
2010-05-14,40
2010-05-16,44
2010-05-17,46
2010-05-18,60
2010-05-19,58
2010-05-20,66
2010-05-21,44
2010-05-23,48
2010-05-24,67
2010-05-25,57
2010-05-26,69
2010-05-27,83
2010-05-28,49
2010-05-30,31
2010-06-01,36
2010-06-02,42
2010-06-03,62
2010-06-04,34
2010-06-06,68
2010-06-07,99
2010-06-08,74
2010-06-09,63
2010-06-10,62
2010-06-11,74
2010-06-13,69
2010-06-14,51
2010-06-15,46
2010-06-16,77
2010-06-17,69
2010-06-18,47
2010-06-20,26
2010-06-21,43
2010-06-22,41
2010-06-23,61
2010-06-24,47
2010-06-25,40
2010-06-27,55
2010-06-28,68
2010-06-29,68
2010-06-30,75
2010-07-01,81
2010-07-02,44
2010-07-04,21
2010-07-05,81
2010-07-06,54
2010-07-07,60
2010-07-08,65
2010-07-09,25
2010-07-11,26
2010-07-12,47
2010-07-13,49
2010-07-14,52
2010-07-15,78
2010-07-16,62
2010-07-18,39
2010-07-19,56
2010-07-20,54
2010-07-21,46
2010-07-22,61
2010-07-23,38
2010-07-25,54
2010-07-26,52
2010-07-27,64
2010-07-28,63
2010-07-29,65
2010-07-30,44
2010-08-01,32
2010-08-02,57
2010-08-03,50
2010-08-04,49
2010-08-05,51
2010-08-06,34
2010-08-08,43
2010-08-09,49
2010-08-10,39
2010-08-11,39
2010-08-12,71
2010-08-13,40
2010-08-15,56
2010-08-16,34
2010-08-17,44
2010-08-18,55
2010-08-19,67
2010-08-20,56
2010-08-22,60
2010-08-23,44
2010-08-24,60
2010-08-25,69
2010-08-26,70
2010-08-27,31
2010-08-29,39
2010-08-31,54
2010-09-01,37
2010-09-02,87
2010-09-03,54
2010-09-05,35
2010-09-06,49
2010-09-07,49
2010-09-08,48
2010-09-09,63
2010-09-10,43
2010-09-12,48
2010-09-13,66
2010-09-14,62
2010-09-15,65
2010-09-16,65
2010-09-17,45
2010-09-19,57
2010-09-20,72
2010-09-21,100
2010-09-22,70
2010-09-23,81
2010-09-24,55
2010-09-26,63
2010-09-27,90
2010-09-28,109
2010-09-29,95
2010-09-30,81
2010-10-01,64
2010-10-03,75
2010-10-04,76
2010-10-05,116
2010-10-06,59
2010-10-07,112
2010-10-08,65
2010-10-10,67
2010-10-11,85
2010-10-12,104
2010-10-13,81
2010-10-14,96
2010-10-15,95
2010-10-17,70
2010-10-18,97
2010-10-19,73
2010-10-20,103
2010-10-21,89
2010-10-22,77
2010-10-24,82
2010-10-25,69
2010-10-26,98
2010-10-27,70
2010-10-28,57
2010-10-29,71
2010-10-31,82
2010-11-01,52
2010-11-02,86
2010-11-03,86
2010-11-04,126
2010-11-05,65
2010-11-07,81
2010-11-08,76
2010-11-09,113
2010-11-10,127
2010-11-11,119
2010-11-12,99
2010-11-14,86
2010-11-15,98
2010-11-16,106
2010-11-17,113
2010-11-18,96
2010-11-19,100
2010-11-21,96
2010-11-22,89
2010-11-23,128
2010-11-24,117
2010-11-25,146
2010-11-26,78
2010-11-28,90
2010-11-29,98
2010-11-30,116
2010-12-01,121
2010-12-02,137
2010-12-03,57
2010-12-05,87
2010-12-06,94
2010-12-07,71
2010-12-08,111
2010-12-09,98
